publisherID,contactID,title,uniqueKey,description,metaDescription,applicationName,taskUrl,status,authenticated,displayVersion,imageSetId,largeIcon,categoryId,markets,roleId,releaseNotes,,,
1361,1079,University of Maryland Treblemakers,umdtreblemakers,"Long ago -- well, really only around Fall 1989 or so -- the Generics, the all-male a cappella group on campus, decided that it would be wonderful to have an all-female a cappella group, too. And so the Treblemakers were born: the oldest all-female a cappella singing group at the University of Maryland! The Trebs released their very first album, TMone, in the spring of 1996. One of the tracks, Walking on Broken Glass"," was chosen to be on the Best of Collegiate A Cappella (BOCA) album for that year. They have released three live albums and three more studio albums since then, including Silence Your Phones (2008), Another Song You Say? (2009) -- which is now available on iTunes! -- and Now Back to the Good Part... (2012). More recently, in the spring of 2010 the Treblemakers traveled to Wake Forest University for their Rockin' the Forest" a cappella competition. Out of five talented groups""was chosen to be on the Best of Collegiate A Cappell"," the Trebs took first place by winning "Best Overall Performance!" The Treblemakers also had their song "That's What You Get" nominated by CARA for "Best Female Collegiate Song." The song then made it onto Voices Only 2010 CD. The Trebs also competed in the International Championship of Collegiate A Cappella (ICCA) for the first time in 2012""the Trebs took first place by winning "Best Overall Performance!" The Treblemakers also had their song "That's What You Get" nominated by CARA for "Best Female Collegiate Song." The song then made it onto Voices Only 2010 CD. The Trebs also competed in the International Championship of Collegiate A Cap""he Trebs took first place by winning "Best Overall Performance!" The Treblemakers also had their song "That's What You Get" nominated by CARA for "Best Female Collegiate Song." The song then made it onto Voices Only 2010 CD. The Trebs also competed in the Internat""e Trebs took first place by winning "Best Overall Performance!" The Treblemakers also had their song "That's What You Get" nominated by CARA for "Best Female Collegiate Song." The song then made it onto Voices Only 2010 CD. Th"" Trebs took first place by winning "Best Overall Performance!" The Treblemakers also had their song "That's What You Get" nominated by CARA for "Best Female Collegiate Song." The song then ""Trebs took first place by winning "Best Overall Performance!" The Treblemakers also had their song "That's What You Get" nominated by CARA for "Best Fema""rebs took first place by winning "Best Overall Performance!" The Treblemakers also had their song "That's What You Get""ebs took first place by winning "Best Overall Performance!" The Treblemakers also ha""bs took first place by winning "Best Overall Perfor""s took first place "," where they placed fourth in the quarterfinals!"""",Come support the University of Maryland's oldest all-female a cappella group: the Treblemakers!,,umdtreblemakers.com,Active,None,1.0.0,3635,null," 1390, 1396",1101,1047,1.0.0
1361,1959,The Center for International and Security Studies at Maryland,cissm,"CISSM‰Ûªs Advanced Methods of Cooperative Security Program builds the case for a fundamental transformation of security policies by focusing on areas where current policies fail to adequately reduce risks:
‰Û¢ the management of nuclear weapons and nuclear energy;
‰Û¢ the local dynamics of civil conflict and post-conflict reconstruction;
‰Û¢ emerging challenges, such as cybersecurity, climate change, and geoengineering;
‰Û¢ the oversight of research with dangerous pathogens; and
‰Û¢ the use of space for security and for the public good.
Ongoing CISSM research projects involve detailed examinations of policy options to address specific problems. For example:
‰Û¢ An investigation of the prospective standards and implementing capabilities of a comprehensive global nuclear material accounting system.
‰Û¢ An evaluation of the security benefits, costs, and risks of expanding nuclear energy production using different types of small modular reactors (SMRs) and associated fuel cycle arrangements.
‰Û¢ An analysis of the strategic and moral imperatives underlying the dispute over Iran's nuclear program, including a look at how the issue is portrayed in the news media.
Other projects look more broadly at ways to promote productive policy debates and to increase public awareness, including one that explores the connections between Americans' moral beliefs and their attitudes toward global policy problems, such as climate change and nuclear weapons.",Come to CISSM if you're interested in security policies and global matters!,,http://cissm.umd.edu,Active,None,1.0.0,3537,null,"1383,  1387, 1390, 1392, 1393, 1394, 1395, 1396, 1398, 1400",1094,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1079,Association for Women in Computing,awc,"The Association for Women in Computing (AWC) was founded in Washington, D.C. in 1978 and is one of the first professional organizations for women in computing. AWC is dedicated to promoting the advancement of women in the computing professions. Our members include many types of computer professionals, such as programmers, system analysts, operators, technical writers, Internet specialists, trainers and consultants. The purpose of AWC is to provide opportunities for professional growth through networking and through programs on technical and career-oriented topics. AWC encourages high standards of competence and promotes a professional attitude among its members. We are governed by a board of directors representing all of the local chapters. The Association for Women in Computing supports and encourages networking both in person and via the internet. AWC encourages the formation of student chapters at colleges and universities. AWC has chapters nationwide, as well as independent members. Independent membership is for professionals, in the United States and abroad, who find it physically or geographically impossible to attend chapter meetings. It provides many of the same chapter benefits over the Internet and through mailings. AWC is a constituent society member of the Institute for Certification of Computer Professionals (ICCP) and adheres to its code of ethics.",Come to AWC if you'd like a support system consisting of women in computer science!,,http://cs.umd.edu/~awc/,Active,None,1.0.0,3537,null," 1387, 1390, 1395, 1396, 1398",1094,"1047, 1045, 1046, 1081",1.0.0,,,
1361,1079,University of Maryland American Society of Civil Engineers,asce,"Founded in 1852, the American Society of Civil Engineers is the oldest national professional engineering society in the United States. Our chapter connects over 300 civil and environmental engineering students with peers, employers, and opportunities for real-world engineering applications. The ASCE UMD Chapter is open to all University of Maryland students and faculty.  You do not need to be a civil engineer (or an engineer at all!) in order to join. You also have the option to be a paid member if you are interested in Lounge Access or our Test Bank. They offer great networking opportunities for students through social, career, philanthropic, and joint society events.  Members are notified regularly of ASCE student chapter events, as well as job, scholarship, and networking opportunities. ","If you're a civil engeering at the University of Maryland,  then the American Society of Civil Engineers is the perfect organization for you!",,http://ascemaryland.org,Active,None,1.0.0,3537,null,"1390, 1387, 1392, 1395, 1400, 1396",1094,1047,1.0.0,,,
1361,1254,The Brain Behavior Initiative,brainbehaviorinitative,The mission of the Brain and Behavior Initiative (BBI) at the University of Maryland (UMD) is to revolutionize the interface between engineers and neuroscientists by generating novel tools and approaches to understand complex behaviors produced by the human brain.,Interested in the human brain? Check to the Brain and Behavior Initiative today! ,,http://bbi.umd.edu,Active,None,1.0.0,3644,null,"1383,  1387, 1390, 1392, 1393, 1394, 1395, 1396, 1398, 1400",1102,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1085,UMD Campus Pantry,campuspantry,"he University of Maryland Campus Pantry‰Ûªs mission is to alleviate food hardship among UMD-College Park students, faculty and staff by providing emergency food to University of Maryland College Park students, faculty, and staff in need.",Help eliminate food hardship at the UMD College Park campus and donate to the UMD Campus Pantry today!,,http://campuspantry.umd.edu,Active,None,1.0.0,3644,null,"1386, 1400",1102,"1047, 1045",1.0.0,,,
1361,1966,The Center for Bioinformatics and Computational Biology at the University of Maryland,centerforbioinformatics,"The University of Maryland Center for Bioinformatics and Computational Biology is a multidisciplinary center dedicated to research on questions arising from the genome revolution. CBCB brings together scientists and engineers from many fields, including computer science, molecular biology, genomics, genetics, mathematics, statistics, and physics, all of whom share a common interest in gaining a better understanding of how life works. The Center for Bioinformatics and Computational Biology is organized as a center within the University of Maryland Institute for Advanced Computer Studies (UMIACS), an interdisciplinary research institute supporting high-impact computing research across the College Park campus.",Interested in the the genome revolution? Check out the University of Maryland Center for Bioinformatics and Computational Biology!,,http://cbcb.umd.edu,Active,None,1.0.0,3537,null,"1383,  1387, 1390, 1392, 1393, 1394, 1395, 1396, 1398, 1400",1094,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1079,The University of Maryland Council on the Environment,umdcouncilontheenvironment,"The University of Maryland Council on the Environment serves as an advisory group to the University of Maryland on research, education, outreach, and economic development as they relate to the environment, both globally and regionally. A major charge to the Council is to coordinate and oversee strategic efforts to place the University of Maryland at the forefront of environmental and earth system science. This includes identifying the unique core competencies and strengths that distinguish the University efforts in the environment from other entities; developing new partnerships with federal and state agencies and laboratories, corporations, and universities; creating new transdisciplinary funding opportunities involving multiple campus units; identifying philanthropic sources of funding for environmental initiatives; and promoting opportunities for economic development. The Council will work closely with internal and external constituencies, including deans, department chairs, and center directors in the natural sciences, engineering, public policy, national security, computational science, social sciences, communications, and health sciences, state and federal agencies, and companies and foundations.  The Council reports to the Senior Vice President and Provost and the Vice President and Chief Research Officer.","The Council on the Environment advises UMD on research, education, outreach, and economic development as related to the global and regional environment.",,http://cone.umd.edu,Active,None,1.0.0,3637,null," 1387, 1390, 1393, 1395, 1400",1095,"1047, 1045, 1046",1.0.0,,,
1361,1963,The University of Marryland College of Education Graduate Student Organization,umdeducationgraduateorganization,The UMD COE GSOs engages graduate students in involvement in social/ professional/educational activities at the College and University level.,The UMD COE GSOs engages graduate students in involvement in social/ professional/educational activities,,http://education.umd.edu/GraduatePrograms/GSA/index.html,Active,None,1.0.0,3537,null,"1383,  1386, 1387, 1389, 1390, 1394, 1395, 1396, 1397, 1398, 1399, 1400",1094,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1086,Iota Nu Delta Fraternity,iotanudelta,"Each man of Iota Nu Delta has his own background, interests, and life-story. What they all share is an ambition to accomplish greater things in life. They strive to be well-rounded men of character who will make a meaningful impact, both in college and beyond. First and foremost, brothers acknowledge their personal responsibilities to Faith, Family, School, and Career. The more you learn about Iota Nu Delta, the more you will realize it is not a ‰ÛÏtypical‰Û_ fraternity.","If you are interested in brotherhood, check out Iota Nu Delta today!",,http://iotanudelta.org,Active,None,1.0.0,3637,null,1396,1095,1047,1.0.0,,,
