"publisherID","contactID","title","uniqueKey","description","metaDescription","applicationName","taskUrl","status","authenticated","displayVersion","imageSetId","largeIcon","categoryId","markets","roleId"
"1126","1079","Adele's Restaurant","AdelesUMD","Adele's is located on the first floor of The Stamp. We are open Monday-Thursday from 11:30-8:30, and Friday's from 11:30-2.","Eat socially and environmentally conscious cuisine without losing the flavor and diversity of Maryland at Adeles.","","http://adeles.umd.edu/home","ACTIVE","NONE","1.0.0","3638","","1384,1388,1395,1396,1399,1400","1096",""
"1126","1079","Black Engineers Society","BES_UMCP","The Black Engineers Society is an organization geared toward the professional development, academic success, and overall support for minority STEM majors here at the University of Maryland, College Park. Although our roots are in engineering, we welcome all STEM majors. Our organization is a chapter within the National Society of Black Engineers (NSBE). Our organization prides itself in providing unparralleled opportunities to succeed by working closely with the Center of Minorities and Engineering (CMSE).


BES Mission
To recruit, retain, and release qualified minorities in the fields of computer science, engineering, mathematics, and physical sciences..","Join Black Engineers Society to network with other minoritiy Engineering Students at UMD","","http://bes.umd.edu","ACTIVE","NONE","1.0.0","3637","","1383,1397,1387,1390,1395,1396,1400","1095",""
"1126","1079","UMDCampusPantry","UMDCampusPantry","Alleviating food hardships among the UMD family by providing emergency food to UMD students, faculty, and staff.

Email us at campuspantry@umd.edu for more info","Terps don't let Terps go hungry! Intern with the Campus Pantry or Host a Food Drive.","","http://campuspantry.umd.edu/","ACTIVE","NONE","1.0.0","3637","","1383,1397,1387,1390,1395,1396,1400","1095",""
"1126","","Center for International and Security Studies at Maryland (CISSM)","CISSMaryland","An interdisciplinary policy research center at the University of Maryland building the case for a fundamental transformation of international security policies.","CISSM promotes leading edge policy debates about domestic and foreign security and economic issues.","","http://cissm.umd.edu","ACTIVE","NONE","1.0.0","3637","","1383,1397,1387,1390,1395,1396,1400","1095",""
"1126","1336","UM LAS","um_las","The Learning Assistance Service (LAS) is the academic support unit of the University Counseling Center. LAS provides services that support students in developing personal and academic strategies and behaviors which empower them to be successful in college and life. All LAS services are free to University of Maryland students.","Learn strategies to get off academic probation at UMD","","http://counseling.umd.edu/LAS","ACTIVE","NONE","1.0.0","3637","","1383,1397,1387,1390,1395,1396,1400","1095",""
"1126","2024","Maryland Cybersecurity Center (MC2)","CollegeParkMC2","The Maryland Cybersecurity Center (MC2), created in late 2010, is an academic center on the University of Maryland campus that brings together faculty, researchers, and students working in the field of cybersecurity from several schools and departments across campus. Our proximity to the nation’s capital enables close interaction with federal agencies, and our location in the Maryland-DC-Virginia region -- one of the leading areas in the country for cybersecurity innovation and job growth -- makes MC2 an ideal place for technology development and partnerships with industry.

The center has a three-fold mission focusing on research, education, and outreach.","Home of Interdisciplinary Cybersecurity Research and Education: Serving the Needs of the State, Region, and Global Community","","http://cyber.umd.edu","ACTIVE","NONE","1.0.0","3644","","1387,1389,1385,1390,1392,1393,1394,1395,1397,1398,1399,1400","1102",""
"1126","2024","Maryland Cybersecurity Center","CyberEdu_UMD","The Maryland Cybersecurity Center (MC2), created in late 2010, is an academic center on the University of Maryland campus that brings together faculty, researchers, and students working in the field of cybersecurity from several schools and departments across campus. Our proximity to the nation’s capital enables close interaction with federal agencies, and our location in the Maryland-DC-Virginia region -- one of the leading areas in the country for cybersecurity innovation and job growth -- makes MC2 an ideal place for technology development and partnerships with industry.

The center has a three-fold mission focusing on research, education, and outreach.

","Cybersecurity Education at UMD promotes cybersecurity skill-building & learning for students, to develop diverse leaders for the future cybersecurity workforce","","http://cyber.umd.edu/education","ACTIVE","NONE","1.0.0","3644","","1387,1389,1385,1390,1392,1393,1394,1395,1397,1398,1399,1400","1102",""
"1126","","Do Good Challenge","DoGoodChallenge","An 8 week prize competition for 
@UofMaryland Terps to lead their own social impact projects. Register NOW for the 2016 Challenge!","An 8 week prize competition for 
@UofMaryland Terps to lead their own social impact projects. ","","http://dogood.umd.edu","ACTIVE","NONE","1.0.0","3637","","1383,1397,1387,1390,1395,1396,1400","1095",""
"1126","2024","Engineers Without Borders","ewb_umcp","Engineers Without Borders is a non-profit organization that partners with disadvantaged communities to improve their quality of life through implementation of environmentally and economically sustainable engineering projects, while developing internationally responsible engineering students.","Network with Engineers Without Borders project teams for international experience.","","http://ewb.umd.edu","ACTIVE","NONE","1.0.0","3637","","1383,1397,1387,1390,1395,1396,1400","1095",""
"1126","1079","UMD Hip-Hop Festival","umdhiphopfest","#HHF17 Prepare yourselves. We're coming.","Do you like hip-hop? Prepare yourselves, UMD is bringing on the beats with a hip hop festival.","","http://facebook.com/umdhiphopfest","ACTIVE","NONE","1.0.0","3637","","1383,1397,1387,1390,1395,1396,1400","1095",""
